"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,3490,4511,4571,4662,4943
"2",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,3490,4511,4571,4662,NA
"3",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,3490,4511,4571,NA,NA
"4",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,3490,4511,NA,NA,NA
"5",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,3490,NA,NA,NA,NA
"6",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,3084,NA,NA,NA,NA,NA
"7",77,148,217,725,914,1024,1411,1595,2026,2027,2095,2993,NA,NA,NA,NA,NA,NA
"8",77,148,217,725,914,1024,1411,1595,2026,2027,2095,NA,NA,NA,NA,NA,NA,NA
"9",77,148,217,725,914,1024,1411,1595,2026,2027,NA,NA,NA,NA,NA,NA,NA,NA
"10",77,148,217,725,914,1024,1411,1595,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",77,148,217,725,914,1024,1411,1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",77,148,217,725,914,1024,1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",77,148,217,725,914,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",77,148,217,725,914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",77,148,217,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",77,148,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",77,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
